age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score
53,Male,Student,0.0,Facebook,60,8.148521161135012,2.420890076365438,2.6385518084582924,1.0,5.58840717042132,1.8706292060107583,10,False,False,2,17,0.0,
63,Female,Student,3.818743983057497,Instagram,54,6.916174841169093,3.932931170949556,3.740388794888328,6.0,7.363643388226047,0.1626874280083527,0,False,False,1,9,11.677638925891063,3.4874533741300837
21,Female,Health,3.05640416480861,Facebook,59,7.717503108571664,2.072683712522648,1.7661018439677667,3.0,6.95190033658634,0.0,9,False,False,2,8,2.020849138459509,0.6860654159199042
53,Female,Finance,,Instagram,68,4.926189293918317,7.481516377224145,6.31111160427804,4.0,5.483669631885914,,1,False,False,5,5,13.143474899940117,6.3379965450905145
36,Female,Education,3.3255449416659206,Facebook,47,4.854346349497728,2.55585966652912,1.5626171745048862,5.0,8.315511232335634,1.9109248906015976,4,True,True,1,9,18.75590016159731,
34,Female,Health,2.813427299617797,Telegram,51,5.284449088543075,4.29501749542937,3.827705837337047,9.0,6.5713669216099175,0.0,9,False,True,0,5,8.71400861961833,4.944859033592604
38,Male,Health,0.0,Twitter,58,6.549237462266342,3.220924422260804,3.3727173257306102,4.0,,0.0542937914205226,9,False,False,1,3,26.356179412689496,3.0902829363795585
63,Male,Health,1.8603638030428984,TikTok,59,7.934678501669665,7.584532023533704,,2.0,6.96114995475079,,4,True,False,1,5,8.06599073692046,7.077600559527669
37,Male,Student,3.809599385471702,Instagram,68,5.749488073792326,3.1036224825390333,3.00284010880061,10.0,6.093525718198012,1.87009302407728,4,False,False,1,10,10.5304343189386,2.5998608293481444
54,Male,Student,3.393317058691504,Telegram,64,9.695743399198774,6.166753747744439,6.008629646211385,6.0,6.495711596238461,1.4860104747517482,6,True,True,1,10,0.0,5.906128427770461
65,Female,Unemployed,3.46029620502675,Facebook,58,9.895067339049966,2.0935886273185824,2.0981642080572938,4.0,3.968229255026856,1.7687014452804068,7,True,False,1,14,21.71447343272019,3.507964943884565
25,Female,Student,3.755894580405037,Telegram,58,10.735792901309008,,3.4936094458724267,10.0,5.074460134911789,0.0,2,False,False,3,26,7.391265913224442,5.010505377283505
61,Female,Finance,3.752088636034367,TikTok,52,9.763886352341418,5.361407496292204,5.672702928718519,2.0,6.73322733673496,1.4577502015539106,0,False,False,0,29,18.064523215382287,6.225778300713694
49,Female,Finance,4.29801828889317,Twitter,74,9.420270897590871,5.859409443461104,5.555067327121794,7.0,,0.0652605086693935,6,False,False,0,10,9.987636146024135,6.945603306120866
53,Female,IT,0.0,Twitter,64,7.459813267943757,7.126579275496427,6.949596934667497,4.0,6.43893538303519,0.0,2,False,False,3,8,2.149425175369588,7.491420261384604
51,Female,Finance,,Instagram,61,6.685654955843173,2.3516918351972222,2.310707981625953,4.0,6.269218821146688,1.9535693693584824,10,True,True,1,7,0.0,4.931449304077416
40,Female,IT,3.633108901580092,Telegram,66,10.886277931061215,5.65149518733371,4.483934159268673,8.0,5.003905941330477,0.8618068321482072,9,False,False,5,4,9.979959405650066,4.267710076637583
35,Female,IT,4.500311534532612,TikTok,63,7.615695696290465,6.5194303234385576,5.993762835515733,9.0,,0.3287933672375489,4,False,False,2,1,18.572531018869576,7.27549335762418
31,Male,Finance,0.9792989296523807,Twitter,59,6.019458757463996,4.434487771274071,4.336574167080486,9.0,3.7682252931630087,1.0142587689775813,10,True,False,2,1,17.402110055519227,3.884170216264552
63,Female,Health,3.447610493772614,TikTok,48,9.784368616121714,3.6946718723444207,3.3787546277426195,,7.288849387523021,1.0516392821864498,1,True,False,3,7,4.200863009103876,3.4688309017288077
46,Female,Health,1.7371827620185,Instagram,70,5.952282440733594,2.5016089685415093,1.9756166890743725,6.0,5.435583267031623,0.8736079291701536,1,False,False,1,16,15.745250056815946,
64,Male,Student,4.592671375280205,TikTok,60,8.565106463004572,8.754652875076943,8.132683062202641,6.0,4.643005419055619,1.1840770455169871,1,False,False,2,6,28.722607468486704,8.027781352592154
65,Other,Finance,4.556063066209607,Facebook,61,6.89906956477405,8.097594563944849,7.156112986427791,8.0,7.13031781114712,0.2421158278263007,5,True,True,1,14,8.627033469546333,6.229584758387737
43,Male,Health,2.553040967347403,TikTok,68,5.480632977191174,7.388568175632789,7.260564420316951,5.0,6.438592150672652,1.887592863550863,1,False,False,4,13,20.24069964235722,8.464666497801982
24,Female,Education,6.817442026773014,Facebook,67,6.786183895712538,4.364591423778876,3.789061196473776,2.0,7.297550209519473,0.5771725097874443,3,False,True,1,7,0.0,3.610528792613705
31,Male,Health,2.942034476216326,Telegram,53,6.086735297310939,6.55355595247635,5.939278279650002,5.0,9.128918625736294,1.3288950529476906,9,False,False,3,2,14.947507884978304,
50,Male,IT,0.7340950060704925,TikTok,63,7.781303247086014,6.29280950764173,5.906397449614248,3.0,8.008922296214726,0.7846393189830282,9,False,False,1,2,4.0399663179617935,
29,Male,Student,6.552963189892116,Instagram,50,5.9372071516082725,4.320888496670938,3.256990967504371,4.0,4.049222168242128,2.0820842967643016,9,True,False,2,17,3.5121413026879367,3.3113890679311924
48,Male,Unemployed,,Telegram,56,5.993377351085737,5.471201480547835,4.953410904885246,3.0,6.286683988479596,0.8660052422121711,6,True,False,1,24,15.590180696522747,
61,Male,Finance,2.803657094659315,Facebook,53,2.7667775105756416,6.723198437286221,6.144252970904593,10.0,6.97324050109024,2.069341887087316,2,False,False,1,30,1.586529868378582,5.135764189167888
21,Male,Finance,6.141695543680569,Telegram,48,5.398818308794533,,2.9145091338929343,1.0,7.066139567621447,0.0,9,False,True,0,11,15.964129837141144,2.288190966319831
18,Female,Health,1.0998953097170865,Twitter,69,7.581409902980974,3.975252562906784,3.5053706066230785,5.0,3.949263859571313,,6,True,True,4,13,1.126183511051897,1.406397397416609
49,Female,Health,1.9079614236564089,Telegram,60,6.029623488776319,3.709588045963741,3.5745582602180503,6.0,8.479837076750663,1.140701392642548,2,False,False,1,25,15.875165085194888,3.73814351266538
45,Female,Education,3.593586134401788,Facebook,45,6.659213710599111,8.401156553044874,6.956319221052149,2.0,5.99126789403444,0.8808649758817403,6,False,True,2,0,6.203548162007669,6.746317291460369
47,Female,Unemployed,5.193338248854214,TikTok,68,6.227659013843019,6.328742414998789,5.476427212903998,3.0,5.196030258393211,0.8946297370011964,6,False,True,2,14,0.0,5.529831051162192
21,Female,Health,2.1432530806731056,Twitter,73,3.791285575141815,2.2004923096442988,1.3444235636309,9.0,6.979459345276244,0.375869788740002,1,True,False,3,18,12.909866046488116,2.110485180389235
24,Female,Unemployed,3.579092090814032,Facebook,58,11.57669463365293,2.8872214612788545,3.214915844484259,8.0,7.095684966452383,1.7059196709207545,1,False,False,1,2,19.248948471967715,2.411544672315604
53,Male,Unemployed,3.902747891566604,TikTok,45,6.192065619319207,5.768076987828278,5.7227125735090105,4.0,6.200828879322709,1.2914499565233517,5,False,False,2,27,12.11081066243732,6.977471741327596
26,Male,Education,1.7361929307467003,Facebook,58,6.453434818305189,2.6366650622062813,,8.0,7.88141306929503,1.4176001869130868,10,False,True,1,4,8.076152150242738,
32,Male,Finance,4.061647578149862,Facebook,77,7.065649454884198,2.4207402233165465,2.628699628993322,9.0,7.293601311336459,0.4664274296408048,8,True,False,2,4,13.876941508244656,2.8654917176526844
29,Male,Student,5.381473000902945,Telegram,70,7.511081971789145,5.67322327072143,4.427106613786515,,7.191813333027628,0.8895210890365312,10,False,False,1,31,9.084201617019623,5.532825373006808
20,Male,Student,5.39484042743184,Facebook,51,10.308459918553137,5.554474958191328,4.54726525162152,4.0,4.728308145501037,1.798222613839827,9,False,False,2,30,0.6294611951200721,4.995528679812279
31,Female,IT,3.764701295411236,Telegram,55,2.818307934225502,6.004260442197085,6.3507153677442,3.0,4.619032536962262,0.6540648639026274,6,True,False,4,24,4.457789317664237,
65,Male,Unemployed,3.670077710090792,Telegram,54,4.208515497063842,2.2427010346624834,2.77680211535425,1.0,3.947855852083464,0.2248912393762436,9,True,False,2,2,0.0,
34,Male,IT,5.659458649378337,Twitter,52,9.931377750587073,5.718934058570008,4.999284691704682,9.0,,0.0,9,False,False,1,29,2.2898499276016637,3.2066913594205166
64,Female,Education,5.297376103876836,Facebook,66,10.125229291824946,6.350078613594081,5.741765625558958,4.0,3.023912588915776,1.114134899743784,9,False,False,2,15,0.0,
25,Female,Unemployed,2.4422731409938487,Instagram,57,10.282914968030283,4.270424114101643,3.059722254037231,1.0,7.016444306682209,0.3558159040320885,6,False,False,1,25,12.629589944886714,6.551585085148859
31,Female,IT,1.0295225779838908,Facebook,70,5.919122068093265,7.4258626907912095,6.391745543365768,1.0,7.340971572581317,1.6165692493106354,10,False,False,0,0,8.551588815718333,5.527990263178507
18,Male,Health,3.704665983913625,Facebook,50,7.859564947549552,8.71186412706469,8.3326517433282,4.0,,,9,False,False,0,22,25.69715445708077,7.781391054207064
50,Female,IT,5.664076090018582,Facebook,54,6.288196427171934,7.163411469902646,6.463938277055399,7.0,5.16736796170711,0.5597153449140764,2,False,False,0,3,0.0,6.696254654709942
41,Female,Finance,4.4539116026368575,Twitter,62,8.81749099977973,,,9.0,4.821576103978829,1.211326266483282,3,False,False,4,10,10.015751292580402,5.083439065166326
39,Female,Health,4.38762213582497,Telegram,52,7.851823071707416,5.957033119905247,5.542421903136731,2.0,6.026529614322501,1.091871727192005,10,True,False,2,29,17.84780162345026,4.7193613824156095
34,Female,Health,1.8772973833573356,Facebook,59,10.226358241705816,3.348512094175637,3.4658150767482256,8.0,5.4804619287574585,1.4126552914592008,9,False,False,4,5,21.77692689599934,
30,Male,Unemployed,0.648712342700295,Twitter,57,10.734445079008925,5.819329589839075,5.004695700433794,8.0,,1.2491336553727586,3,False,False,1,25,10.734359472526824,
51,Female,Health,0.0,Telegram,69,0.7161253923815618,3.7863788720840272,2.988797286797797,3.0,,0.0577793730207166,3,True,False,1,23,0.0,2.146052895348709
48,Male,Health,5.051452569310188,Facebook,64,4.237278385721128,7.754857160959507,7.318513709795969,10.0,3.710976444478328,0.0,2,False,False,3,21,9.81091209058605,6.270385835355344
61,Female,Finance,4.128587768136384,Twitter,71,4.561221991152246,2.892926778213928,2.593390776095088,8.0,7.762938634914152,2.1237543148207525,9,True,False,3,8,23.353626926723894,2.0083484800446865
31,Female,Unemployed,,Instagram,52,7.871421544679209,2.114433479433385,1.6174795407747542,5.0,7.569123728015716,1.1436250028470094,10,False,True,2,8,16.03794216738172,2.4181077891328653
49,Female,Education,2.0193863766720046,TikTok,62,9.045786461847449,2.315255755449311,1.855269486889324,,3.537277148774902,1.848598455376027,5,False,False,2,21,5.63899703500028,1.6121404188473147
46,Male,Unemployed,1.211614759844953,Telegram,60,3.8230169140637655,4.353981816482792,3.421206026136992,3.0,3.919696833716246,0.964241811392898,3,False,False,2,9,17.040208865252854,4.537194974648008
50,Female,Finance,,Facebook,63,9.13404642130589,3.541874484491838,2.309230588201954,5.0,3.0,1.0071410887752317,2,False,True,1,23,24.01884852516869,1.4722073035140082
60,Male,IT,3.161696301417376,Instagram,74,10.54397123210086,6.00563698903044,5.453937570660408,9.0,7.69402782151321,0.7320788054227771,7,True,False,1,24,19.319553021813928,
37,Female,Education,7.353520369035346,Instagram,72,6.98184475786564,2.0167711457312225,2.0329356607003866,3.0,7.753889046587429,2.7560869871587634,0,True,True,3,17,17.768919538419347,2.333670969235329
44,Female,Education,6.363067528468882,Telegram,69,2.7363453190443403,4.645285689739666,4.761754262798131,5.0,9.374264740377887,,7,False,True,3,1,0.378730315965937,5.501049432072199
27,Male,Education,1.9603358713243983,Facebook,60,5.386914562097983,6.874430363601045,6.569959086016547,6.0,5.11070863793358,1.4380758882687097,8,False,False,4,9,13.420649927663597,6.915541155462649
26,Male,Unemployed,0.9271338365637892,Twitter,58,7.910050043687219,3.0021916625656875,2.415482771772836,8.0,8.224485950879764,1.4241640304499117,2,False,True,1,20,18.826585623822325,1.23925808227205
25,Other,IT,,Facebook,61,7.529097739638896,3.41220919761826,2.3791805252602463,1.0,5.437449661122687,0.6780506191412117,8,False,True,1,11,0.0,1.9870989434415145
27,Female,Student,3.075602368269458,Instagram,68,6.664048200308279,8.041508688537554,7.269049430448151,9.0,6.978094907105845,1.2036772914742964,3,True,False,1,2,10.176994043947024,7.634350528585203
23,Male,Student,2.5938502301160167,Instagram,65,10.3069666175858,5.713034246505973,5.274413491710048,9.0,7.989877283309482,0.0,0,False,False,1,27,12.273116941553642,5.325183558794972
65,Female,Finance,0.967835032306832,Twitter,63,7.465020346850375,2.71802842704735,2.18671560212962,6.0,5.39720240691854,1.776066316089251,1,False,False,5,27,0.0,2.228940681511851
57,Other,IT,3.0943268523563563,Instagram,58,9.168804942633988,5.279889890807793,,7.0,9.232550557718252,0.4086735619873425,4,True,False,1,7,24.735293927708327,5.798430026549893
53,Male,Unemployed,1.394689105063487,Telegram,67,9.932825639243532,7.42060529716723,6.12014297488247,6.0,7.531307810295489,1.0869695831485369,4,False,False,3,19,0.0,4.490893493170331
47,Female,Student,,Telegram,76,5.565670191600701,5.674939488922005,5.554845938924005,7.0,6.802515413374335,0.4002889143549292,2,False,False,4,31,2.676437542260099,4.789404119026306
44,Female,Health,4.524615519072029,Twitter,57,5.844679157408583,7.701886210811593,7.278147755517962,6.0,7.006898022400089,1.7222599290157992,9,False,False,0,1,0.0,8.111411938043881
39,Male,Finance,0.1221891859215085,Telegram,65,4.094374387075455,6.327718409641679,4.447203167322435,3.0,5.910883606379391,0.757080544856033,5,False,False,4,6,18.759149507610715,6.336982343149412
58,Male,Health,5.2415538729102575,Telegram,73,4.392589631996402,4.440105554251471,3.798528926456567,2.0,7.699771948129008,0.360832188341366,2,False,True,1,5,15.022618515809466,5.003467344130803
49,Male,Unemployed,2.5540492927624467,Instagram,61,9.299871212045824,2.9080129518827955,2.256452022327004,4.0,6.735291888063074,1.3945869584030268,2,False,True,2,9,7.099854999942222,0.7823857124852869
40,Male,Finance,4.358622361690091,Twitter,59,6.625781091349511,,5.047739437789011,5.0,,0.9131909487423108,6,False,True,2,10,5.181215643171372,
59,Male,Unemployed,3.281882236111506,Facebook,58,6.949945313183752,,5.540592288957031,10.0,9.42251665469881,1.8518486002744727,4,False,False,2,13,5.299314150801676,4.79540056696638
36,Male,Finance,4.661143284519188,Twitter,52,8.126477460657526,8.63548183904642,7.881203693392356,9.0,7.007500751196677,1.3530753165239486,9,False,False,5,16,23.792036270778823,7.868654395984257
54,Female,Health,4.767839940937717,Instagram,70,6.325361552986718,8.891648098200058,8.332391118608218,10.0,,0.0,0,False,False,0,5,15.610976307060676,8.72983367706491
46,Male,Unemployed,2.548757114899338,Facebook,46,9.795051534371456,8.154172077148253,6.508890629649217,5.0,4.341772267663677,1.0477276396166468,8,False,False,3,17,9.078560092592852,8.307490302958888
37,Male,Education,3.4152939047360555,Facebook,57,10.735747364465576,3.189058424650733,2.880881202914301,9.0,5.568014287731187,,7,False,True,2,24,5.838623986510362,3.329585939809183
52,Male,Student,2.2260387023724624,Telegram,60,5.116582490422723,2.0395709330836533,2.5473169336040327,9.0,6.302326490441208,0.0,2,False,True,2,27,26.498728722763364,1.843519030220188
27,Male,Finance,4.0695458225219685,Facebook,54,7.003010490286485,4.020598571887353,3.285070439615898,10.0,4.08969083464385,0.6335838883733318,0,False,True,1,17,1.960342535140306,3.334869427684884
54,Female,Unemployed,4.216311243623203,Facebook,62,10.310009151140598,4.4379089812267445,4.201593638377195,7.0,7.534008381550258,2.500796207837148,4,False,False,4,13,5.417664144092227,3.276642530463643
55,Female,Education,3.489715948153154,TikTok,52,10.009355869634112,2.4247745880097136,2.4688291208409563,1.0,8.18140853591718,0.2056790885728092,0,True,False,2,21,4.857566495312323,1.734319531700801
24,Male,Education,5.347003416938604,Twitter,56,8.697276852568683,3.0070629036820584,3.555297045025258,4.0,6.089069878175987,0.0,10,True,False,2,22,14.588067507745151,2.897430754882661
42,Female,Health,1.316482837539943,Twitter,64,8.018684298690118,5.234792803581906,,4.0,6.997570169494048,0.0,10,False,False,1,1,8.390449924328086,5.477538673898465
31,Female,Student,2.9742786821816263,Instagram,57,6.637521911985445,3.357147011668009,3.73267333583745,9.0,9.566306861017818,0.3125309321771041,0,False,False,3,14,4.8365955536025576,2.6297428173240736
32,Male,Student,3.0287166233951366,Facebook,66,7.549769259227151,4.485586712841993,3.479143387686113,1.0,3.950882458581959,1.173386661185435,4,False,False,0,5,16.034995499055487,1.963997568934275
62,Female,Student,5.830046036909755,Telegram,54,2.89514717552992,3.948072964604948,3.0623696598908925,3.0,5.53621759949918,0.7135755599513776,2,False,False,1,14,21.402173163843344,4.4743988877820176
39,Male,IT,3.977989884916037,Facebook,61,6.179774974334604,5.108774555717639,,9.0,7.836784191404208,0.482831181621583,0,False,True,2,12,12.624468920237076,3.4403559481406223
59,Male,Unemployed,1.895465703806953,Facebook,57,8.790168321016452,3.296824875192814,2.1712330571773224,,6.035248581704299,0.3396116057721686,8,False,True,3,8,7.487388489641418,1.95948829247325
56,Male,Unemployed,,Telegram,62,5.184391971741204,2.194737675674304,1.3958583048940418,2.0,5.626985423759116,,10,False,False,0,4,15.527109032580388,2.347118967565593
61,Female,Unemployed,2.0686039945575088,Instagram,50,6.814796022943964,4.656309822406359,4.055089935964575,9.0,8.05891127548995,0.0,10,False,False,0,21,8.978074501875316,4.006088685809202
46,Female,Student,3.803609304787777,Telegram,68,9.779376922034114,4.319229826393898,3.525599518218001,2.0,7.031318877276771,1.1372035929315711,8,True,False,2,11,25.451189811781664,2.8752819267272822
42,Male,Health,4.407628558404505,Telegram,67,7.715738647472978,6.746452167625117,6.151937817569633,3.0,5.812378033807836,0.0,2,True,False,5,19,0.0,4.300877104225389
30,Female,Finance,1.8022785030930488,Instagram,58,9.38572173767766,2.4435778044709298,1.7220486300263596,1.0,5.505128957639007,0.2084692843450738,5,True,False,2,12,7.426040663600262,1.2479591550099474
64,Female,Student,,TikTok,74,7.794229377412902,3.5934445270773567,3.569595812957995,5.0,5.75856690114374,1.268496848083841,0,False,True,1,17,12.252372029776284,3.767074856535697
63,Female,Student,0.0,TikTok,59,6.343511622354043,5.6625440755371,4.84305028022853,5.0,6.087003695899772,1.060196239658628,1,False,False,4,17,20.55042156770486,6.007074155940627
63,Male,Student,0.6109743666571434,Instagram,64,3.7892759219745,3.2092559577923803,3.200821117383506,1.0,4.865456519610243,0.6040207427242523,10,False,False,2,0,15.027344896698963,4.141748020539066
65,Male,Unemployed,4.193643367845487,Facebook,67,7.849380557875128,4.912290540970796,3.7203337996122423,6.0,8.94309875773267,1.032957908335124,2,False,False,2,8,17.710943651522502,4.4359782026203485
38,Male,Unemployed,3.3784083344502265,Facebook,59,7.324371183412232,6.703104107331409,6.185077424478637,8.0,3.832339441782716,0.968012209591325,0,True,False,0,12,6.150907290315796,6.5385837577644494
47,Male,Education,4.856396617371589,Facebook,52,7.907307181316223,6.767048252758661,5.680863795527528,7.0,6.465720977853622,1.492390126651221,10,False,True,4,31,36.35908403746201,6.928735255580287
21,Male,Education,1.8216553040541792,TikTok,70,6.767110708616476,2.727545964540613,1.398099081753333,3.0,8.629746852233916,1.0399649010450225,10,True,False,6,16,6.923679067996893,2.716851114875497
27,Male,Health,0.6627398538016833,Instagram,60,6.65522802544686,5.668785821058057,6.17543443189718,,5.591049050093482,1.1702928477492347,1,False,True,2,13,23.451882014738626,5.315369663838051
54,Female,Finance,1.80656214659748,Twitter,57,6.320980948544794,8.378276588375115,8.119473885822332,7.0,7.094988687582692,1.120641766035817,10,True,False,2,10,20.463114637155893,8.290125989310887
39,Female,Finance,0.6722983456987977,TikTok,53,7.137162138731908,3.911630730306945,3.336549815063905,3.0,7.6334259650615905,0.5308121580238689,9,False,False,0,28,12.346250614660864,1.6431548879724214
24,Female,Health,5.304380540143136,TikTok,55,5.236681690451865,6.976029082747967,,,7.614991367912809,0.0,8,False,False,3,22,8.08255530899213,7.525285516327446
30,Male,Education,2.9012985728135963,Telegram,87,7.936582998082408,3.739070559916215,3.4478091488438083,9.0,4.794095502348172,0.5308246687983756,10,True,False,3,10,21.013323660062824,3.158096821436663
38,Female,IT,3.470993579482447,TikTok,62,8.666593280274203,,6.475216877567815,1.0,7.977733483535909,1.172902437701306,4,False,False,3,5,6.974145955263371,5.470466618143514
22,Male,Unemployed,1.7606061491005736,Twitter,61,1.899749740577592,7.178621343132831,6.675586203787715,5.0,,0.6355959171558387,10,True,False,3,4,8.061623170760619,
19,Male,Unemployed,3.0564841566891103,Instagram,53,8.34977796703479,5.628124592081411,4.6370426265231135,2.0,5.220535568280504,1.2807803792195278,8,False,False,1,13,9.536506204611287,3.9945241997896033
18,Female,IT,4.096861254972372,Facebook,63,7.160835101444185,7.272583701548913,,8.0,5.379058440608061,0.2346784554224142,5,False,False,2,19,12.49095073093319,7.572135818748553
20,Female,Unemployed,2.162410163224351,Facebook,60,5.362029902413625,3.2160041452409667,,7.0,7.320128195996378,1.623095688341928,2,True,False,1,18,14.689668623323314,1.957643459679166
48,Female,Education,1.084918774323158,Facebook,68,8.096907613221868,4.164342211151236,3.4558999520319382,10.0,7.145722468664637,0.2225862655313194,5,False,False,2,12,3.3801243987964407,3.424432225085248
62,Female,Finance,4.785722195990507,Telegram,53,9.15658638759583,5.802419001982939,4.893971985098198,10.0,7.471615969530844,1.0624260022788932,5,False,True,5,23,6.654547663255007,6.4175005859280985
47,Female,Education,2.5199174435286955,Twitter,66,5.060697187973721,7.688207892911587,7.411589131770188,8.0,6.170584808566129,2.2819691906795234,9,False,False,3,26,0.7338419807451135,8.082897562616663
43,Female,Finance,3.7709599816623705,Telegram,65,6.5811926616828105,7.75522785278108,6.850512431048976,5.0,7.111007795553224,1.6533595212032823,6,False,False,7,1,14.398270550157656,6.6273198012043455
37,Female,Student,4.241729253526236,Telegram,56,7.847799710564724,5.7438959481254575,,1.0,5.970941688070489,0.6990230723707547,1,False,False,5,8,3.3575944733393,5.754885426393595
23,Male,Unemployed,0.3380699297681606,TikTok,66,6.294631357042739,3.095539590135548,3.27834096309324,10.0,,1.334864568081784,1,False,False,3,11,6.554906474130191,3.589405297602914
65,Female,IT,4.416616402150265,TikTok,58,0.4837832062259073,8.768935832544056,8.332817660284562,9.0,6.2162205693687245,,7,True,False,2,28,21.590645092848288,8.390294111363184
36,Male,Education,1.0014617098657022,Telegram,63,8.321407371979948,7.558407988318269,7.409564814882138,9.0,7.091850621672308,0.8774821987599746,8,True,False,2,1,24.351409461150283,8.291104273978728
63,Female,Education,0.3038033819827959,Twitter,64,8.789470585921844,4.9005957305699805,4.205565436793762,9.0,7.033288591031297,0.4311132484495494,9,True,True,1,10,3.790129247754895,4.465222064248733
61,Female,IT,3.2517755747120027,Telegram,55,7.464188065293579,2.837739097863345,,6.0,4.581929549056638,1.233613231533813,8,False,False,2,10,5.017794520254138,2.933049639369103
26,Female,Education,5.906225230909175,Twitter,70,8.58147701287419,2.142556435074169,,6.0,7.579160652940112,1.0758185639291324,2,False,False,2,30,13.809399166318672,
20,Female,Education,0.0,Instagram,73,4.888931238344874,6.292674183438616,,9.0,4.8252817921884,,6,False,False,2,17,9.120937913144674,
41,Male,Education,0.0,Telegram,59,5.921002295422993,4.412966895806764,3.5300445627689143,,4.291399145283431,1.080056160867697,6,True,False,2,13,6.602049828436658,3.776626644501417
30,Male,Student,4.394184243181734,Telegram,51,3.316578301899116,6.356655445794236,6.035187907970838,10.0,9.022058247347251,1.7042411135390112,6,False,False,1,20,18.30378023173597,
55,Male,Education,2.956181762184264,TikTok,58,5.355934097138388,7.512931778683655,7.083369672345317,5.0,4.453875181468787,0.0693156944925105,7,True,False,1,6,10.160969263051587,
34,Female,Education,3.710685244592616,Telegram,61,4.085699018273746,7.639153603579538,7.481571883943322,9.0,,1.599471782364943,9,False,True,2,7,13.482757464161985,
39,Male,Health,0.3418620415530755,Facebook,76,6.518225473661581,7.459664268423326,6.402649554540348,6.0,7.487252886184381,0.1819795414379579,6,False,False,1,20,9.447176468370984,7.454230927348604
63,Female,Unemployed,1.0868911943438728,TikTok,61,5.264129042662406,2.45902421978073,3.017026667793228,1.0,7.710957458536581,1.879924915203918,2,False,False,1,8,11.333776681845112,2.149197253606338
52,Female,Unemployed,1.7930458418925774,Instagram,75,8.78271895421432,5.574101164959018,5.3137579305843925,6.0,5.453491365731262,0.4105089926295898,7,False,True,0,21,24.185946364323,6.271236468235096
56,Female,IT,5.648105682354007,Twitter,69,6.814843990257357,8.763144845864595,7.300885185011382,7.0,3.8858581769841303,0.5044966220149301,7,False,False,2,9,16.413059239143056,7.154511239813613
43,Female,Education,4.051643486282478,Instagram,57,7.5950962827421,8.207738758139223,7.921852386277902,3.0,4.648586138833826,1.2153601982319353,6,True,False,4,27,8.641981612976316,7.645269496429849
32,Female,Education,3.0224520353023663,Instagram,58,8.212267217659775,,6.918045735266805,5.0,,0.5913863421841914,3,False,False,0,28,13.110510620621064,7.136608315093136
